country,n_years,slope_decade,ci_low,ci_high,mk_p
French Southern And Antarctic Lands,66,0.15102777777777762,0.11901785714285731,0.1907843137254901,2.4870328019233057e-11
Heard Island And Mcdonald Islands,66,0.13803030303030317,0.09758333333333291,0.17985294117647044,7.048672756582164e-10
Uzbekistan,184,0.10747619047619059,0.08805280528052803,0.12605967078189323,0.0
South Georgia And The South Sandwich Isla,123,0.1064,0.0859558823529412,0.12666666666666665,0.0
Kiribati,131,0.10623762376237628,0.09262931034482763,0.11980286738351284,0.0
Turkmenistan,184,0.10538627450980415,0.08706582633053225,0.12276785714285714,0.0
Palmyra Atoll,131,0.10526729559748406,0.09266025641025796,0.11698979591836767,0.0
Kingman Reef,131,0.1049494949494951,0.09226190476190543,0.11680180180180195,0.0
Federated States Of Micronesia,114,0.10427083333333265,0.09258215962441271,0.11565151515151617,0.0
French Polynesia,137,0.1022112232574193,0.09130461592670945,0.11366071428571267,0.0
Kyrgyzstan,182,0.09970967741935484,0.08186046511627924,0.11835714285714298,0.0
Tonga,139,0.09959039548022591,0.08494696969696974,0.1136217948717947,0.0
Niue,139,0.09926075268817172,0.08739087301587356,0.11168650793650844,0.0
Ecuador,133,0.0987268518518497,0.0854032258064514,0.11203703703703721,0.0
Palau,131,0.09828125000000001,0.09055921052631627,0.10572222222222176,0.0
Northern Mariana Islands,111,0.09687500000000071,0.0865126811594203,0.10899122807017636,0.0
Guam,111,0.09687500000000071,0.0865126811594203,0.10899122807017636,0.0
Niger,146,0.09616959064327427,0.07991341991341977,0.11253164556962017,0.0
Fiji,139,0.09596994535519074,0.08360833333333346,0.10808608058608044,0.0
Tajikistan,181,0.09523962370801033,0.07865432098765432,0.11204115013774119,0.0
Kazakhstan,201,0.09469587491683301,0.0745328980411853,0.1135294117647058,0.0
American Samoa,139,0.09416666666666629,0.08432598039215686,0.1039130434782612,0.0
Samoa,139,0.093626760563381,0.08412213740458017,0.10240061162079495,0.0
Nigeria,145,0.09361804360298348,0.07927964205816548,0.10803571428571415,0.0
Solomon Islands,133,0.09203982762406712,0.08237745098039191,0.10054347826086926,0.0
North Korea,175,0.0919958847736625,0.07605140186915885,0.10834507042253515,0.0
Benin,148,0.09171491064780335,0.07823581560283678,0.10673684210526309,0.0
Guinea,157,0.09162241541353373,0.08134803921568667,0.10213855421686763,0.0
Sierra Leone,158,0.0914666666666662,0.08142107892107882,0.10116071428571642,0.0
Christmas Island,157,0.09134307170714925,0.08340277777777791,0.09922979797979772,0.0
Togo,148,0.09123330662393156,0.07862704918032765,0.1062499999999998,0.0
Côte D'Ivoire,156,0.091109477124185,0.08013157894736835,0.10182765151515193,0.0
Sao Tome And Principe,146,0.09034444444444462,0.07855231143552305,0.10307189542483683,0.0
Ghana,149,0.09009351432880813,0.07724509803921616,0.10417391304347862,0.0
Chad,146,0.09007183908045975,0.0754279279279277,0.1042948717948715,0.0
Burkina Faso,155,0.09005208333333307,0.07731220657276949,0.10297029702970253,0.0
Peru,135,0.08963815789473666,0.07770467836257286,0.10192810457516362,0.0
Liberia,158,0.08955840455840455,0.08033549783549784,0.10003472222222183,0.0
Reunion,142,0.0894179894179893,0.07733333333333298,0.10001700680272062,0.0
Mongolia,193,0.08926320582877958,0.07208333333333333,0.10772569444444455,0.0
Canada,210,0.08914761904761898,0.07191299790356391,0.1060594315245477,0.0
Russia,201,0.08904422951532276,0.07288968824940037,0.10479166666666595,0.0
Equatorial Guinea,146,0.08882608695652172,0.07700336700336709,0.10136006289308155,0.0
Azerbaijan,205,0.08871865919468655,0.07468106995884767,0.10367977528089894,0.0
Mauritius,142,0.08871853741496594,0.07684256286784372,0.09991228070175401,0.0
Guinea Bissau,157,0.08838030133928573,0.07796052631578962,0.09894791666666691,0.0
Cameroon,146,0.08802536231884023,0.07534136546184744,0.10050925925925905,0.0
Iran,177,0.08747546897546955,0.07260620915032681,0.10204301075268797,0.0
Gabon,146,0.08705314009661817,0.07578787878787871,0.09919191919191912,0.0
Mali,157,0.08686912568306011,0.07353375527426165,0.09985380116959083,0.0
South Korea,173,0.08649915824915881,0.07197183098591539,0.09983796296296302,0.0
Argentina,159,0.08619047619047644,0.07553571428571461,0.09663265306122477,0.0
Senegal,157,0.08606771417882544,0.07379824561403468,0.09787558685446024,0.0
Greenland,191,0.08570312499999955,0.06332375478927194,0.10815891472868237,1.7084111902931909e-12
Gambia,157,0.08564973092750937,0.07406862745097949,0.09781250000000075,0.0
Congo (Democratic Republic Of The),146,0.08554487179487215,0.07593297101449259,0.09598173515981785,0.0
Denmark,191,0.08553571428571669,0.06341145833333228,0.10710069444444414,1.3484768857097151e-12
Papua New Guinea,132,0.0854107142857147,0.074699453551913,0.09595628415300538,0.0
Philippines,158,0.08541062801932404,0.07716463414634164,0.09318807339449547,0.0
Congo,146,0.08512931034482794,0.07327519379844973,0.09649193548387043,0.0
Indonesia,157,0.08508607388467634,0.07856060606060614,0.09180059523809561,0.0
Kuwait,173,0.08480525362318857,0.06798333333333346,0.1011607142857139,0.0
Yemen,138,0.084768518518518,0.06901923076923075,0.1019551282051295,0.0
Mozambique,141,0.084681083937198,0.07166666666666602,0.0980632716049383,0.0
Angola,146,0.0846242138364779,0.07319999999999993,0.09679166666666668,0.0
Falkland Islands (Islas Malvinas),154,0.08454545454545452,0.07218750000000006,0.09773809523809515,0.0
Baker Island,162,0.08436224489795888,0.0763673139158572,0.09268656716417917,0.0
Rwanda,145,0.08431620896464637,0.07333333333333325,0.09472685185185196,0.0
Armenia,209,0.08428545733233223,0.06919025157232689,0.09825091575091587,0.0
Central African Republic,146,0.08414999999999964,0.07166666666666624,0.09695692883895135,0.0
Burundi,145,0.08397402510683757,0.07264925373134312,0.09451058201058177,0.0
Somalia,141,0.08393569038265689,0.07151190476190449,0.09483333333333377,0.0
Namibia,157,0.08384617892540353,0.07219626168224307,0.09683593750000052,0.0
Uruguay,175,0.08358108108108106,0.07207482993197278,0.09483128834355828,0.0
Zambia,142,0.08325268817204304,0.0698032407407408,0.09619999999999987,0.0
Timor Leste,136,0.08305209371884312,0.06870370370370368,0.0973611111111102,0.0
Sudan,147,0.08292824074074032,0.06794934640522882,0.0968171296296294,0.0
Kenya,141,0.08267369477911635,0.07230158730158741,0.0930197132616485,0.0
South America,163,0.08260572139303482,0.0747318007662836,0.09050387596899256,0.0
Chile,159,0.08244565217391321,0.07361111111111115,0.09126344086021515,0.0
Afghanistan,175,0.08239159891598927,0.06525510204081614,0.10030487804878069,2.220446049250313e-16
Costa Rica,163,0.08236286919831215,0.07313333333333319,0.09180555555555574,0.0
Iraq,195,0.08215053763440816,0.06761261261261314,0.09715324384787452,0.0
Singapore,172,0.08208253856116801,0.07466269841269936,0.08919117647058779,0.0
Uganda,145,0.08203656462584916,0.07192982456140307,0.09250000000000042,0.0
Zimbabwe,146,0.08191666666666819,0.06785714285714331,0.09603729603729615,0.0
New Caledonia,156,0.08189169847328234,0.07197265625000004,0.0915058479532168,0.0
Palestina,161,0.08172048611111099,0.07225274725274791,0.09135416666666618,0.0
Brazil,181,0.08166247203579416,0.07381226053639864,0.08957692307692336,0.0
El Salvador,177,0.08163100057836886,0.07305555555555564,0.09040476190476202,0.0
Malaysia,172,0.08139759665621768,0.0746006944444444,0.08808712121212169,0.0
Malawi,140,0.08128601589667175,0.06711267605633774,0.09478260869565215,0.0
Ethiopia,141,0.0812211096755671,0.06927777777777659,0.09411375661375673,0.0
Africa,158,0.08117187500000012,0.07203828828828883,0.0901190476190476,0.0
South Africa,157,0.08073490127758387,0.07010416666666686,0.09179054054054098,0.0
Japan,173,0.08071233411397388,0.06812714776632296,0.09255868544600929,0.0
Asia,198,0.0806590909090909,0.07017578125,0.09105587121212128,0.0
Bahrain,168,0.08033920539730124,0.06383620689655148,0.09651111111111181,0.0
Lesotho,157,0.08022459464555082,0.0688247863247864,0.0916911764705877,0.0
United Arab Emirates,158,0.08011764705882364,0.06552631578947318,0.09794444444444433,0.0
Cape Verde,157,0.08006642512077128,0.0669166666666661,0.09216783216783252,0.0
Swaziland,157,0.08006589243060691,0.0687532894736842,0.09069444444444327,0.0
Saudi Arabia,166,0.08001199040767389,0.06663110698824985,0.09380208333333306,0.0
Tanzania,134,0.07984848484848393,0.06751572327043998,0.09150684931506839,0.0
Bolivia,159,0.07957446808510638,0.06906862745098016,0.09020061728395147,0.0
North America,208,0.07944435311523917,0.06754830917874396,0.09185323383084582,0.0
Eritrea,140,0.07944157914478624,0.06348837209302319,0.09479591836734716,0.0
Botswana,157,0.07941666666666691,0.0663008130081301,0.09245098039215666,0.0
Syria,205,0.07917635658914779,0.06735544217687069,0.09102272727272749,0.0
Djibouti,139,0.07913900913900969,0.06438725490196137,0.09448581560283803,0.0
Madagascar,149,0.07898713564566008,0.06724999999999781,0.08998484848484753,0.0
Mauritania,163,0.07878205128205078,0.06493421052631544,0.09191111111111165,0.0
Oman,145,0.0785873015873017,0.0644369369369372,0.09435256410256415,0.0
Taiwan,173,0.07856729371137755,0.06870915032679759,0.08817518248175224,0.0
Panama,168,0.07828774928774945,0.06804687499999851,0.08795698924731159,0.0
China,184,0.07827775257108288,0.06828014184397194,0.08783950617283962,0.0
Seychelles,149,0.07810897435897485,0.06728395061728361,0.08916666666666655,0.0
Trinidad And Tobago,175,0.07800179211469507,0.06858796296296364,0.0872297297297295,0.0
Qatar,167,0.07767543859649126,0.06320093457943889,0.09358730158730161,0.0
Guyana,174,0.07759174311926595,0.06917865707434029,0.08641666666666659,0.0
Grenada,175,0.0775641025641024,0.06801356589147306,0.0860833333333336,0.0
Paraguay,175,0.07750718390804567,0.06551870748299306,0.088356807511737,0.0
Lebanon,205,0.07732790130977767,0.06506565656565647,0.08870967741935554,0.0
Venezuela,175,0.07722222222222253,0.06766260162601598,0.08595370370370306,0.0
New Zealand,161,0.07711481481481412,0.0625614035087721,0.09026936026936024,0.0
Suriname,174,0.07700757575757661,0.06876016260162579,0.08597470238095253,0.0
French Guiana,174,0.07696969696969738,0.0684027777777807,0.08608796296296282,0.0
Nicaragua,182,0.07670995670995634,0.06836206896551657,0.08517543859649092,0.0
Colombia,174,0.07670091324200906,0.06776371308016929,0.08571548821548791,0.0
Saint Vincent And The Grenadines,175,0.076147186147186,0.06728472222222237,0.08583333333333039,0.0
Barbados,175,0.07614583333333202,0.06736666666666764,0.08530952380952428,0.0
Saint Lucia,175,0.07596491228070235,0.06722178683385592,0.08563084112149547,0.0
Mayotte,149,0.07571707240948843,0.06327586206896628,0.08695355191256844,0.0
Georgia,215,0.0754753914988814,0.06066666666666665,0.09063235294117652,0.0
Guadeloupe,175,0.07547073791348603,0.06632013201320129,0.084004854368932,0.0
Martinique,175,0.07536585365853685,0.06670411985018695,0.08454212454212401,0.0
Dominica,175,0.07536585365853685,0.06670411985018695,0.08454212454212401,0.0
British Virgin Islands,175,0.07533854166666631,0.06607142857142938,0.0844212962962961,0.0
Virgin Islands,175,0.07533854166666631,0.06607142857142938,0.0844212962962961,0.0
Jordan,203,0.07533333333333303,0.0630113636363636,0.08809108527131777,0.0
Sint Maarten,175,0.07527322404371611,0.066583333333333,0.08388364779874159,0.0
Anguilla,175,0.07527322404371611,0.066583333333333,0.08388364779874159,0.0
Saint Martin,175,0.07527322404371611,0.066583333333333,0.08388364779874159,0.0
Saint Barthélemy,175,0.07527322404371611,0.066583333333333,0.08388364779874159,0.0
Comoros,149,0.07523224043715795,0.0638095238095234,0.0865453074433655,0.0
"Bonaire, Saint Eustatius And Saba",175,0.07518115942028944,0.06585320417287621,0.08383986928104598,0.0
Saint Kitts And Nevis,175,0.07505668934240375,0.0658786231884059,0.0838368055555557,0.0
Montserrat,175,0.0749936386768447,0.06546228710462287,0.08403614457831302,0.0
Antigua And Barbuda,175,0.07496478873239454,0.06602657004830942,0.08412247474747468,0.0
Honduras,186,0.07449044585987258,0.06701305220883522,0.08306224899598347,0.0
Puerto Rico,175,0.07446666666666601,0.06419444444444385,0.08368217054263673,0.0
Curaçao,175,0.07428571428571372,0.06457264957264879,0.08401851851851758,0.0
Guatemala,186,0.07426954732510296,0.06585227272727306,0.08234633569739956,0.0
Egypt,196,0.0739730163457082,0.06281481481481481,0.085032051282051,0.0
Aruba,175,0.07358134920634936,0.06448099415204667,0.08328178694158091,0.0
Israel,203,0.07349206349206365,0.06147798742138404,0.08555295950155752,0.0
Gaza Strip,203,0.07342105263157879,0.06120192307692323,0.08569805194805212,0.0
Cambodia,173,0.07313886488043812,0.06507843137254893,0.08175093632958784,0.0
Belize,187,0.07180041152263344,0.06337092731829559,0.0799324324324329,0.0
Dominican Republic,187,0.07129487179487135,0.06255747126436678,0.07975206611570246,0.0
Pakistan,175,0.07063769563769541,0.055905797101449245,0.08546296296296182,0.0
Thailand,189,0.07014885265700502,0.06254901960784434,0.07832199546485286,0.0
Haiti,187,0.06962606837606818,0.06099462365591259,0.07786616161616218,0.0
Hong Kong,174,0.06942176870748265,0.059533333333332904,0.07952235772357748,0.0
Jamaica,188,0.06938484461472945,0.060775058275058455,0.07734567901234612,0.0
Macau,174,0.06866666666666532,0.058434343434343256,0.07892330383480835,0.0
Vietnam,175,0.06791666666666726,0.059113475177305023,0.07639175257731956,0.0
United States,208,0.06709478628167953,0.055520833333333464,0.07870114942528736,0.0
Turks And Caicas Islands,191,0.06614071038251361,0.05863095238095235,0.07354166666666606,0.0
Oceania,162,0.06592233009708758,0.0549895833333327,0.07712962962962965,0.0
Mexico,179,0.06571917808219216,0.057013333333333374,0.07404654654654655,0.0
Laos,189,0.06514984251482217,0.05654411764705897,0.0732113821138205,0.0
Burma,189,0.06492389581240549,0.05741185897435937,0.07267543859649139,0.0
Australia,162,0.06468847352024909,0.0526960784313706,0.07670918367346916,0.0
Cayman Islands,191,0.06439024390243886,0.057119047619047646,0.07195205479452052,0.0
Cuba,191,0.06213855421686711,0.05430894308943077,0.0693068535825543,0.0
Bhutan,196,0.06015273631840804,0.05183558558558568,0.0683283433133731,0.0
Sri Lanka,210,0.059722222222222045,0.052807017543859205,0.06628086419753045,0.0
India,210,0.05911764705882333,0.0519999999999996,0.06646825396825408,0.0
Libya,223,0.05787137681159417,0.047676470588235154,0.06807471264367775,0.0
Bangladesh,212,0.057023809523809435,0.04964285714285691,0.06442876344086053,0.0
Nepal,206,0.056737288135593165,0.047367424242423996,0.0656060606060605,0.0
Cyprus,223,0.05612804878048762,0.04415032679738559,0.06811488673139145,0.0
Western Sahara,213,0.054395803782505886,0.04309811827956949,0.0649081920903951,0.0
Algeria,226,0.05063568376068399,0.039981060606060416,0.06183127572016539,0.0
Saint Pierre And Miquelon,263,0.05030982905982917,0.03781828703703706,0.06350783475783475,3.441691376337985e-14
Bahamas,209,0.04744438264738592,0.03864035087719486,0.05600352112676052,0.0
Turkey,237,0.04521501749125424,0.03304263565891483,0.05750000000000048,1.73749903353837e-12
Finland,265,0.04514980333594465,0.02920765027322396,0.059960317460317436,1.2193890008838082e-07
Morocco,226,0.04394654088050339,0.03325757575757558,0.055018832391713846,2.375877272697835e-14
Estonia,265,0.04309785834863743,0.027632575757575818,0.05927083333333323,4.909495439076039e-07
Åland,265,0.04257393285009562,0.027490842490842417,0.0579619565217392,1.7841666366535947e-07
Sweden,265,0.041462764985380124,0.027073643410852718,0.05589166666666667,8.13654403852837e-08
Latvia,265,0.041420337337701695,0.025731382978723388,0.05675774134790524,8.61290227582856e-07
Norway,265,0.03963002873563214,0.026634615384615402,0.05230684326710817,2.0592529903495915e-09
Belarus,265,0.03914007392359342,0.023602941176470698,0.05379166666666668,1.263883090185658e-06
Lithuania,265,0.03880692599620504,0.023969534050179285,0.05391447368421039,1.4579182665563906e-06
Denmark (Europe),265,0.03776491228070174,0.023941441441441176,0.050341269841269784,1.252166486054307e-07
Iceland,265,0.03609623619562768,0.02593589743589743,0.046432291666666625,3.444156071452653e-11
Netherlands (Europe),265,0.03601656388361788,0.024202127659574503,0.047594501718212986,1.0882845735693536e-08
Netherlands,265,0.03593417553191408,0.0242196969696971,0.04742957746478903,7.4015611417621585e-09
Poland,265,0.03589026526526519,0.021372549019608014,0.049436274509803944,1.7156353226965848e-06
Ukraine,265,0.03555682976554536,0.022350340136054404,0.049937106918238855,7.498540417483213e-07
Germany,265,0.03548206209509842,0.022857142857142763,0.04785353535353537,1.1302258107193097e-07
Belgium,265,0.034528808872163294,0.02318840579710147,0.04560157790927024,1.4938266845732073e-08
Luxembourg,265,0.034306277056277056,0.022782051282051387,0.04561111111111179,3.243853274881303e-08
Europe,265,0.03397895675505051,0.023601973684210624,0.04440721649484534,2.5626811783752146e-10
Faroe Islands,265,0.03385906097053005,0.025120120120120173,0.04266835016835019,1.5409895581797173e-13
Czech Republic,265,0.03348604864234549,0.020416666666666947,0.04664268585131895,9.212068239339288e-07
United Kingdom,265,0.03286562187615093,0.02445000000000004,0.041005747126436745,6.510347816401918e-13
United Kingdom (Europe),265,0.0324093688474935,0.02363095238095144,0.04083333333333335,1.1331602323139123e-11
Liechtenstein,265,0.032350412912912914,0.020277777777778137,0.04447662601626019,1.582296931257332e-07
Isle Of Man,265,0.032077127659574475,0.023142857142857007,0.040928362573099335,1.1223244555935707e-11
Ireland,265,0.03188891266105648,0.024388111888111946,0.03993859649122799,2.842170943040401e-14
Tunisia,261,0.031858202038924865,0.022612994350282575,0.04101307189542469,1.297673080102868e-11
Switzerland,265,0.031791254257130544,0.020762411347517686,0.042992424242424304,3.374579815584866e-08
Austria,265,0.031699900793650856,0.019741887905604796,0.04385144927536232,5.795311273093517e-07
France,265,0.03146495370370368,0.022006172839506094,0.040557359307359334,1.751354616885692e-11
Slovakia,265,0.03144946332737021,0.018888888888889135,0.04419847328244273,2.8259849162992623e-06
Moldova,265,0.031202699829931835,0.018214285714286405,0.04490196078431367,5.769270556177375e-06
Malta,261,0.031134299622202953,0.022495934959349616,0.03967514124293741,1.7283952047364437e-12
Italy,265,0.030176786606696683,0.02068014705882353,0.03967687074829977,7.758584885664277e-10
San Marino,265,0.02966774660979891,0.01927916666666665,0.040249042145593855,2.6819817255940848e-08
Monaco,265,0.029537749287749313,0.01968646864686465,0.03984684684684686,4.930208463704844e-09
Slovenia,265,0.029491647465437892,0.017570921985815724,0.040580808080807884,1.3504905831407399e-06
Jersey,265,0.02919542483660142,0.020303030303030354,0.03855839416058406,7.459002304699425e-10
Guernsey,265,0.02919542483660142,0.020303030303030354,0.03855839416058406,7.459002304699425e-10
France (Europe),265,0.028841168091168108,0.019339080459770168,0.03868589743589723,1.0794239502232017e-08
Romania,265,0.0286849169588807,0.017240829346092498,0.041139896373057025,3.650023789436574e-06
Hungary,265,0.028438430059523765,0.016181592039801018,0.04034090909090908,9.732991367750188e-06
Portugal,261,0.027879523389232053,0.019602763385146743,0.03638333333333321,2.4108781637721677e-10
Croatia,265,0.027632703207136813,0.016348039215685877,0.03866020114942533,3.2563602154755955e-06
Bulgaria,265,0.027021210437175935,0.016479591836734836,0.03755813953488335,6.249132398217228e-07
Greece,265,0.026903031859275058,0.017942708333333335,0.03602083333333361,1.0619297441394338e-08
Andorra,265,0.02653283023735826,0.01723262032085554,0.036100508905852265,2.0364684605311822e-08
Albania,265,0.026517872775021763,0.017279411764705318,0.03605902777777781,3.5661391395436226e-08
Bosnia And Herzegovina,265,0.026515371410736614,0.015361757105943338,0.03744696969696968,3.1912453528626372e-06
Montenegro,265,0.026192484121383253,0.01649717514124293,0.03627853881278544,2.3335065435503566e-07
Serbia,265,0.026120493197278882,0.015163690476190452,0.03708874458874459,4.089220393188597e-06
Svalbard And Jan Mayen,252,0.026060114469842563,0.009385416666666702,0.04356249999999995,0.0021502658638641314
Spain,265,0.025876038188201056,0.017311111111111423,0.03499221183800625,7.46271711093982e-09
Macedonia,265,0.025400466454388065,0.016036585365853544,0.03548245614035077,1.661479291925616e-07
